"Participant.ID","Country","Mean.spd","Median.spd","a","k","theta","r2","Motion.status","p05","p01","p005","p0001","AgeMatchGroup"
"006AP","U.S.",19.72,15,0.85,1.01,17.4,0.98,"Stationary",1,1,1,1,6
"006AP","U.S.",37.8,44,0.97,2.19,26.47,0.93,"Moving",1,1,1,1,6
"006MO","India",31.4,34,0.86,2.62,15.13,0.99,"Moving",0,0,0,0,6
"006MO","India",29.49,30,0.89,1.38,31.25,0.99,"Stationary",0,0,0,0,6
"009SS","U.S.",18.8,16,0.76,1.25,15.75,0.98,"Moving",1,1,1,1,9
"009SS","U.S.",27.97,42,0.75,1.86,31.41,0.97,"Stationary",1,1,1,1,9
"017MA","India",30,39,0.82,1.82,29.08,0.9,"Moving",1,1,1,1,17.5
"017MA","India",17.85,13,0.68,1.01,15.19,0.95,"Stationary",1,1,1,1,17.5
"018MT","U.S.",33.45,40,0.85,2,26.86,0.94,"Moving",1,1,1,0,17.5
"018MT","U.S.",25.51,25,0.85,1.26,28.37,0.99,"Stationary",1,1,1,0,17.5
"022JL","U.S.",31.86,36,0.94,1.41,39.69,0.98,"Moving",1,1,1,0,23
"022JL","U.S.",24.02,22,0.83,1.49,18.63,0.97,"Stationary",1,1,1,0,23
"024DA","India",30.6,41,0.8,2.03,26.54,0.94,"Stationary",0,0,0,0,23
"024DA","India",34.01,46,0.81,2.55,23.11,0.94,"Moving",0,0,0,0,23
"025TA","India",31.95,35,0.86,1.84,25.76,0.94,"Moving",0,0,0,0,25
"025TA","India",26.12,25,0.77,1.01,24.08,0.69,"Stationary",0,0,0,0,25
"025TT","U.S.",19.29,13,0.69,1.01,14.04,0.95,"Stationary",1,1,1,1,25
"025TT","U.S.",29.77,32,0.9,1.4,33.05,0.92,"Moving",1,1,1,1,25
"034JC","U.S.",31.92,35,0.88,2.26,18.97,0.97,"Moving",1,1,1,1,34
"034JC","U.S.",16.71,12,0.59,1.28,10.05,0.95,"Stationary",1,1,1,1,34
"034NW","U.S.",28.38,32,0.85,1.33,36.11,0.98,"Moving",1,1,1,1,35
"034NW","U.S.",23.85,22,0.84,1.62,17.19,0.99,"Stationary",1,1,1,1,35
"034SA","India",36.04,48,0.92,2.21,30.52,0.97,"Moving",0,0,0,0,34
"034SA","India",33.83,39,0.86,2.11,24.45,0.96,"Stationary",0,0,0,0,34
"036MR","U.S.",29.67,38,0.86,1.47,38.98,0.96,"Moving",1,1,1,0,36
"036MR","U.S.",26.77,29,0.83,1.46,27.23,0.99,"Stationary",1,1,1,0,36
"036NI","India",35.24,39,0.91,2.34,20.93,0.95,"Moving",1,0,0,0,35
"036NI","India",26.47,27,0.83,1.53,23.29,0.99,"Stationary",1,0,0,0,35
"036VI","India",30.3,34,0.8,2.37,17.2,0.95,"Stationary",1,1,1,1,36
"036VI","India",32.51,49,0.86,2.15,34.13,0.86,"Moving",1,1,1,1,36
"046TE","U.S.",24.35,23,0.86,1.71,16.68,1,"Stationary",1,1,1,1,46
"046TE","U.S.",33.99,45,1,1.59,48.84,0.82,"Moving",1,1,1,1,46
"048RE","India",33.06,37,0.87,1.97,24.66,0.98,"Moving",0,0,0,0,46
"048RE","India",30.1,34,0.88,1.43,33.82,0.97,"Stationary",0,0,0,0,46
"048YA","India",31.2,35,0.86,1.97,22.91,0.98,"Moving",1,1,1,0,47.5
"048YA","India",23.68,21,0.8,1.42,19.35,0.93,"Stationary",1,1,1,0,47.5
"053KD","U.S.",35.17,47,0.98,1.85,40.73,0.86,"Moving",1,1,1,1,53.5
"053KD","U.S.",20.9,19,0.85,1.61,14.57,0.99,"Stationary",1,1,1,1,53.5
"054AJ","India",35.79,50,0.99,2,39.59,0.92,"Moving",1,1,1,0,53.5
"054AJ","India",29.49,39,0.89,1.41,47.79,0.82,"Stationary",1,1,1,0,53.5
"057AP","U.S.",31.86,36,1.07,1.11,62.46,0.92,"Moving",1,1,1,1,57.5
"057AP","U.S.",25.41,23,0.81,1.34,22.19,0.94,"Stationary",1,1,1,1,57.5
"058LA","India",32.26,37,0.88,1.89,26.51,0.92,"Stationary",1,0,0,0,57.5
"058LA","India",31.86,35,0.9,2.15,20.5,0.9,"Moving",1,0,0,0,57.5
